Adiantum braunii,Adiantum concinnum,Borreria remota,Brachypodium mexicanum,Buddleja cf. sessiliflora,Buddleja cordata,Canavalia villosa,Celastrus pringlei,Cestrum anagyris,Cestrum nitidum,Cestrum oblongifolium,Cheilanthes bonariensis,Commelina cf. leiocarpa,Cyperus hermaphroditus,Dahlia coccinea,Dioscorea galeottiana,Dryopteris patula,Garrya laurifolia spp. racemosa,Hypericum philonotis,Ipomoea purpurea,Lantana camara,Lippia mexicana,Malaxis brachyrrynchos,Minuartia moehringioides,Oreopanax peltatus,Phaseolus vulgaris,Polypodium furfuraceum,Pteris quadriaurita,Quercus obtusata,Stevia origanoides,Verbesina oncophora,Agave aff. inaequidens,Ageratina areolaris,Astragalus guatemalensis var. brevidentatus,Bouvardia ternifolia,Cheilanthes pyramidalis,Desmodium aff. densiflorum,Lupinus aff. campestris,Oplismenus burmannii var. burmannii,Polypodium subpetiolatum,Roldana chapalensis,Salvia lavanduloides,Smilax aff. moranensis,Stevia ovata,Thalictrum grandifolium,Ageratina choricephala,Ageratum corymbosum,Alchemilla procumbens,Calliandra grandiflora,Coreopsis rhyacophila,Crusea longiflora,Donnellsmithia mexicana,Dryopteris maxonii,Dydimaea floribunda,Eryngium cf. ghiesbreghtii,Eysenhardtia orthocarpa,Geranium seemannii,Mitracarpus sp.,Peperomia galioides,Piptochaetium virescens,Polypodium polypodioides var. aciculare ,Pseudognaphalium roseum,Roldana albonervia,Roldana angulifolia,Russelia coccinea,Salvia gesneriflora,Stachys coccinea,Tagetes lunulata,Acaciella angustissima var. angustissima,Acalypha langiana,Adiantum poiretii,Arenaria lanuginosa,Asplenium hallbergii,Bromus dolichocarpus,Disocactus speciosus,Echeandia aff. mexicana,Gonolobus uniflorus,Iresine diffusa,Oxalis aff. tetraphylla,Passiflora cf. exsudans,Rubus cf. cymosus,Scutellaria dumetorum,Tradescantia commelinoides,Viola aff. guatemalensis,Xylosma flexuosa,Agave aff. angustifolia,Arbutus xalapensis,Begonia gracilis,Hechtia podantha,Phlebodium areolatum,Pteridium aquilinum var. arachnoideum,Stellaria cuspidata,Acourtia lenguojas,Agave horrida,Cheilanthes kaulfussii,Cheilanthes lendigera,Cheilanthes marginata,Echeveria gibbiflora,Govenia sp.,Pellaea ternifolia,Sedum frutescens,Vitis aff. tilifolia,Bidens ocellatus,Commelina coelestis,Dahlia merckii,Galium aschenbornii,Roldana sp1,Ternstroemia lineata spp. lineata,Adiantum andicola,Ageratina photina,Arracacia tolucensis,Cheilanthes farinosa,Phaseolus coccineus,Salvia setulosa,Sedum oxypetalum,Selaginella pallescens,Toxicodendron radicans,Ageratina pazcuarensis,Dioscorea cf. urceolata,Muhlenbergia cenchroides,Cologania broussonetii,Dryopteris cinnamomea,Peperomia bracteata,Ranunculus sp.,Lobelia laxiflora,Quercus rugosa,Solanum appendiculatum,Styrax ramirezii,Montanoa frutescens,Oxalis aff. jaquiniana ,Asplenium monanthes,Polypodium madrense,Cestrum thyrsoideum,Lopezia racemosa,Psacalium peltatum,Fuchsia thymifolia spp. thymifolia,Woodsia mollis,Penstemon roseus,Salvia mexicana,Bomarea edulis,Salvia polystachia,Verbesina virgata,Clematis dioica
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,3,0,3,0,0
0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0,1,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
